Value   Red   Green   Blue   
132   0.0070511134   0.0009508319   0.0009721990   
133   0.0068694932   0.0010469834   0.0007478453   
134   0.0058972937   0.0007692122   0.0007478452   
135   0.0061109633   0.0006410101   0.0005021246   
136   0.0057049897   0.0005769091   0.0007051111   
137   0.0052455988   0.0007798955   0.0005769090   
138   0.0056515714   0.0006944275   0.0006623770   
139   0.0051494466   0.0007371614   0.0007585284   
140   0.0049144092   0.0007478449   0.0008653634   
141   0.0044657020   0.0008439963   0.0009187808   
142   0.0043802337   0.0009615147   0.0007478448   
143   0.0042733985   0.0008012622   0.0008012622   
144   0.0039742603   0.0007585282   0.0009294641   
145   0.0036003378   0.0007692116   0.0009080970   
146   0.0038033240   0.0008333125   0.0006089592   
147   0.0035682869   0.0008974135   0.0010256154   
148   0.0034507683   0.0008653629   0.0010042483   
149   0.0033866671   0.0010149318   0.0011217667   
150   0.0034400844   0.0013461200   0.0015597898   
151   0.0032264144   0.0019016614   0.0016773081   
152   0.0034935014   0.0020512301   0.0020512301   
153   0.0038781068   0.0024251521   0.0025213035   
154   0.0046793681   0.0029593263   0.0026281381   
155   0.0056088310   0.0032905141   0.0028952250   
156   0.0079271469   0.0039101559   0.0027670228   
157   0.0107369022   0.0041451919   0.0032905131   
158   0.0146150045   0.0048182505   0.0034400812   
159   0.0187067740   0.0060147991   0.0044122770   
160   0.0213349041   0.0085254143   0.0057477101   
161   0.0189417987   0.0100958816   0.0075638982   
162   0.0173499550   0.0126599104   0.0101599779   
163   0.0144974631   0.0151918864   0.0135145810   
164   0.0136855143   0.0157581033   0.0160679213   
165   0.0105659387   0.0143692469   0.0170614746   
166   0.0082369414   0.0127133058   0.0141128352   
167   0.0086322255   0.0108223307   0.0108650629   
168   0.0084506037   0.0120295558   0.0101279019   
169   0.0064527977   0.0149354470   0.0079271105   
170   0.0034186997   0.0128949059   0.0084933300   
171   0.0018055003   0.0108971008   0.0103522448   
172   0.0005769053   0.0104377108   0.0136747885   
173   0.0001388846   0.0090702298   0.0111962302   
174   0.0000213669   0.0065596227   0.0088138243   
175   0.0000320503   0.0038032985   0.0084399031   
176   0.0000106834   0.0019123324   0.0065062029   
177   0.0000000000   0.0006516886   0.0044870361   
178   0.0000000000   0.0001282010   0.0021901008   
179   0.0000000000   0.0000213668   0.0010042413   
180   0.0000000000   0.0000000000   0.0002564020   
181   0.0000000000   0.0000000000   0.0000427337   
182   0.0000000000   0.0000000000   0.0000106834   
183   0.0000000000   0.0000000000   0.0000000000   
184   0.0000000000   0.0000000000   0.0000000000   
185   0.0000000000   0.0000000000   0.0000000000   
186   0.0000000000   0.0000000000   0.0000000000   
187   0.0000000000   0.0000000000   0.0000000000   
188   0.0000000000   0.0000000000   0.0000000000   
189   0.0000000000   0.0000000000   0.0000000000   
190   0.0000000000   0.0000000000   0.0000000000   
191   0.0000000000   0.0000000000   0.0000000000   
192   0.0000000000   0.0000000000   0.0000000000   
193   0.0000000000   0.0000000000   0.0000000000   
194   0.0000000000   0.0000000000   0.0000000000   
195   0.0000000000   0.0000000000   0.0000000000   
196   0.0000000000   0.0000000000   0.0000000000   
197   0.0000000000   0.0000000000   0.0000000000   
198   0.0000000000   0.0000000000   0.0000000000   
199   0.0000000000   0.0000000000   0.0000000000   
200   0.0000000000   0.0000000000   0.0000000000   
201   0.0000000000   0.0000000000   0.0000000000   
202   0.0000000000   0.0000000000   0.0000000000   
203   0.0000000000   0.0000000000   0.0000000000   
204   0.0000000000   0.0000000000   0.0000000000   
205   0.0000000000   0.0000000000   0.0000000000   
206   0.0000000000   0.0000000000   0.0000000000   
207   0.0000000000   0.0000000000   0.0000000000   
208   0.0000000000   0.0000000000   0.0000000000   
209   0.0000000000   0.0000000000   0.0000000000   
210   0.0000000000   0.0000000000   0.0000000000   
211   0.0000000000   0.0000000000   0.0000000000   
212   0.0000000000   0.0000000000   0.0000000000   
213   0.0000000000   0.0000000000   0.0000000000   
214   0.0000000000   0.0000000000   0.0000000000   
215   0.0000000000   0.0000000000   0.0000000000   
216   0.0000000000   0.0000000000   0.0000000000   
217   0.0000000000   0.0000000000   0.0000000000   
218   0.0000000000   0.0000000000   0.0000000000   
219   0.0000000000   0.0000000000   0.0000000000   
220   0.0000000000   0.0000000000   0.0000000000   
221   0.0000000000   0.0000000000   0.0000000000   
222   0.0000000000   0.0000000000   0.0000000000   
223   0.0000000000   0.0000000000   0.0000000000   
224   0.0000000000   0.0000000000   0.0000000000   
225   0.0000000000   0.0000000000   0.0000000000   
226   0.0000000000   0.0000000000   0.0000000000   
227   0.0000000000   0.0000000000   0.0000000000   
228   0.0000000000   0.0000000000   0.0000000000   
229   0.0000000000   0.0000000000   0.0000000000   
230   0.0000000000   0.0000000000   0.0000000000   
231   0.0000000000   0.0000000000   0.0000000000   
232   0.0000000000   0.0000000000   0.0000000000   
233   0.0000000000   0.0000000000   0.0000000000   
234   0.0000000000   0.0000000000   0.0000000000   
235   0.0000000000   0.0000000000   0.0000000000   
236   0.0000000000   0.0000000000   0.0000000000   
237   0.0000000000   0.0000000000   0.0000000000   
238   0.0000000000   0.0000000000   0.0000000000   
239   0.0000000000   0.0000000000   0.0000000000   
240   0.0000000000   0.0000000000   0.0000000000   
241   0.0000000000   0.0000000000   0.0000000000   
242   0.0000000000   0.0000000000   0.0000000000   
243   0.0000000000   0.0000000000   0.0000000000   
244   0.0000000000   0.0000000000   0.0000000000   
245   0.0000000000   0.0000000000   0.0000000000   
246   0.0000000000   0.0000000000   0.0000000000   
247   0.0000000000   0.0000000000   0.0000000000   
248   0.0000000000   0.0000000000   0.0000000000   
249   0.0000000000   0.0000000000   0.0000000000   
250   0.0000000000   0.0000000000   0.0000000000   
251   0.0000000000   0.0000000000   0.0000000000   
252   0.0000000000   0.0000000000   0.0000000000   
253   0.0000000000   0.0000000000   0.0000000000   
254   0.0000000000   0.0000000000   0.0000000000   
255   0.0000000000   0.0000000000   0.0000000000   
