Value   Red   Green   Blue   
0   0.0000106838   0.0000000000   0.0000854701   
1   0.0000320513   0.0000427350   0.0001068376   
2   0.0001175214   0.0001282051   0.0004594017   
3   0.0012393162   0.0012286325   0.0020726496   
4   0.0034294871   0.0033867520   0.0054914527   
5   0.0051923072   0.0052991446   0.0091452974   
6   0.0076816220   0.0078418780   0.0139423021   
7   0.0102029865   0.0098504218   0.0169337486   
8   0.0112286232   0.0105982807   0.0169230581   
9   0.0120940022   0.0116132323   0.0178952719   
10   0.0122756207   0.0127136526   0.0154059526   
11   0.0117948470   0.0118268966   0.0142200513   
12   0.0110362969   0.0116239008   0.0128418443   
13   0.0110042413   0.0119016731   0.0127136347   
14   0.0101602229   0.0119123523   0.0102777411   
15   0.0097969726   0.0119016642   0.0102456864   
16   0.0092948345   0.0106837164   0.0093909857   
17   0.0079379997   0.0099251694   0.0091986760   
18   0.0069978307   0.0086431213   0.0086217530   
19   0.0061644995   0.0074144927   0.0087285878   
20   0.0044657888   0.0063461205   0.0094764450   
21   0.0043910019   0.0055555252   0.0097328518   
22   0.0035790397   0.0048503998   0.0105020761   
23   0.0032585281   0.0046901434   0.0116879643   
24   0.0026602404   0.0043375805   0.0125212900   
25   0.0026602399   0.0042414264   0.0136110240   
26   0.0022969938   0.0037392920   0.0129058975   
27   0.0020192174   0.0036110870   0.0129699970   
28   0.0019764822   0.0043162096   0.0129593107   
29   0.0015491344   0.0045191987   0.0122435013   
30   0.0015705014   0.0045512489   0.0117199985   
31   0.0016346032   0.0045191969   0.0113460675   
32   0.0014529804   0.0047328696   0.0110255550   
33   0.0013888780   0.0049785933   0.0103524815   
34   0.0016239186   0.0053738884   0.0109721327   
35   0.0010576837   0.0052243159   0.0108759775   
36   0.0014529793   0.0051815803   0.0110896489   
37   0.0012286220   0.0056409771   0.0122434829   
38   0.0013568257   0.0060683227   0.0129379187   
39   0.0014422948   0.0062713110   0.0124678347   
40   0.0013568252   0.0064422482   0.0127990255   
41   0.0015491308   0.0067841239   0.0120191156   
42   0.0017734872   0.0070405302   0.0124571429   
43   0.0017093849   0.0074571912   0.0123075689   
44   0.0016452826   0.0074358221   0.0113246702   
45   0.0021153629   0.0077563299   0.0118802174   
