Value   Red   Green   Blue   
132   0.0064635235   0.0064635231   0.0029593319   
133   0.0060041315   0.0060682322   0.0025533582   
134   0.0058225109   0.0059079786   0.0022114856   
135   0.0063139513   0.0054592705   0.0022328523   
136   0.0058545597   0.0057156738   0.0016559428   
137   0.0059079763   0.0060041275   0.0014850066   
138   0.0056408880   0.0055661031   0.0011645014   
139   0.0057904562   0.0057797723   0.0008439963   
140   0.0055340515   0.0061536939   0.0008867302   
141   0.0058545556   0.0054272154   0.0007264776   
142   0.0056195179   0.0051173934   0.0004700737   
143   0.0059613890   0.0041558785   0.0004914406   
144   0.0054272137   0.0037499054   0.0004487066   
145   0.0058759197   0.0028311248   0.0004700736   
146   0.0059186530   0.0025426704   0.0005128075   
147   0.0060575378   0.0025533536   0.0004593900   
148   0.0060575372   0.0021046469   0.0004487064   
149   0.0063139403   0.0013354357   0.0003846055   
150   0.0065703433   0.0015063714   0.0003952889   
151   0.0068587968   0.0009828805   0.0003311880   
152   0.0065596586   0.0005875916   0.0003846054   
153   0.0068267451   0.0003632384   0.0002991375   
154   0.0076600561   0.0004700732   0.0002991375   
155   0.0077241563   0.0002350366   0.0003311879   
156   0.0081408113   0.0004273392   0.0002991374   
157   0.0083651636   0.0003525548   0.0003098209   
158   0.0088245523   0.0003098208   0.0003205043   
159   0.0081301255   0.0004380225   0.0003739217   
160   0.0082049090   0.0003098208   0.0003632382   
161   0.0075532163   0.0003739216   0.0002670869   
162   0.0084933613   0.0003632381   0.0003311877   
163   0.0080232877   0.0002457199   0.0002777703   
164   0.0082369564   0.0003098207   0.0003418711   
165   0.0075532135   0.0002777702   0.0003739215   
166   0.0077134649   0.0004273388   0.0003632380   
167   0.0074784279   0.0003205041   0.0003632379   
168   0.0074784272   0.0003952883   0.0003525544   
169   0.0076707290   0.0004059717   0.0002991371   
170   0.0069228857   0.0003525544   0.0004273386   
171   0.0072220221   0.0005128063   0.0002777701   
172   0.0067733160   0.0004914393   0.0004700724   
173   0.0061643581   0.0003952881   0.0002670866   
174   0.0055660838   0.0003205039   0.0003418708   
175   0.0053310472   0.0002991369   0.0003952881   
176   0.0052669461   0.0002564031   0.0003952880   
177   0.0049037082   0.0003846046   0.0003846046   
178   0.0045404702   0.0003418707   0.0002670865   
179   0.0039315128   0.0004273384   0.0003205038   
180   0.0035682751   0.0003525541   0.0003525541   
181   0.0028738501   0.0004059714   0.0003739210   
182   0.0027242816   0.0003311872   0.0003098203   
183   0.0028311161   0.0004059714   0.0003739210   
184   0.0021473748   0.0004273383   0.0002991368   
185   0.0025212957   0.0005234894   0.0003311871   
186   0.0022542092   0.0006623743   0.0002350360   
187   0.0025640293   0.0004914390   0.0002991368   
188   0.0028097487   0.0007585253   0.0004059713   
189   0.0036216911   0.0006410073   0.0004593885   
190   0.0044977342   0.0007692087   0.0004487051   
191   0.0062818707   0.0010149281   0.0004914389   
192   0.0072861147   0.0010469784   0.0005128057   
193   0.0079912218   0.0011965466   0.0005341726   
194   0.0089206812   0.0011965464   0.0005448560   
195   0.0093907520   0.0013888484   0.0006196401   
196   0.0089954633   0.0013888482   0.0006410069   
197   0.0082583044   0.0020405383   0.0006944240   
198   0.0079912174   0.0020084877   0.0007051074   
199   0.0070190230   0.0023610412   0.0010362941   
200   0.0051494197   0.0026601773   0.0010256105   
201   0.0027670116   0.0030234141   0.0010469773   
202   0.0012072289   0.0039101395   0.0011217613   
203   0.0005234886   0.0061643452   0.0014422645   
204   0.0001068344   0.0096044123   0.0015918325   
205   0.0000427338   0.0131833630   0.0017200336   
206   0.0000641006   0.0129590087   0.0020619032   
207   0.0000641006   0.0112176068   0.0021473704   
208   0.0000213669   0.0102667796   0.0025533405   
209   0.0000213669   0.0088565652   0.0033332307   
210   0.0000534172   0.0059934047   0.0035575823   
211   0.0000427337   0.0032584461   0.0043695226   
212   0.0000427337   0.0012285943   0.0071899473   
213   0.0000427337   0.0007478400   0.0098287533   
214   0.0000213669   0.0002243520   0.0119013368   
215   0.0000320503   0.0000854674   0.0114205812   
216   0.0000320503   0.0000427337   0.0102026695   
217   0.0000106834   0.0000427337   0.0101492513   
218   0.0000106834   0.0000320503   0.0082048675   
219   0.0000320503   0.0000320503   0.0056408459   
220   0.0000106834   0.0000320503   0.0029593072   
221   0.0000534171   0.0000534171   0.0012713269   
222   0.0000106834   0.0000320503   0.0005128041   
223   0.0000213668   0.0000106834   0.0002670855   
224   0.0000000000   0.0000213668   0.0001068342   
225   0.0000213668   0.0000320503   0.0001068342   
226   0.0000534171   0.0000427337   0.0000427337   
227   0.0000427337   0.0000320503   0.0000427337   
228   0.0000213668   0.0000213668   0.0000320503   
229   0.0000320503   0.0000213668   0.0000320503   
230   0.0000106834   0.0000320503   0.0000961508   
231   0.0000320503   0.0000427337   0.0000000000   
232   0.0000320503   0.0000320503   0.0000106834   
233   0.0000106834   0.0000213668   0.0000213668   
234   0.0000641005   0.0000320503   0.0000641005   
235   0.0000427337   0.0000213668   0.0000213668   
236   0.0000106834   0.0000106834   0.0000213668   
237   0.0000213668   0.0000854674   0.0000213668   
238   0.0000320503   0.0000320503   0.0000213668   
239   0.0000320503   0.0000106834   0.0000427337   
240   0.0000320503   0.0000320503   0.0000213668   
241   0.0000427337   0.0000320503   0.0000106834   
242   0.0000320503   0.0000427337   0.0000747839   
243   0.0000427337   0.0000213668   0.0000641005   
244   0.0000000000   0.0000534171   0.0000427337   
245   0.0000427337   0.0000213668   0.0000213668   
246   0.0000213668   0.0000320503   0.0000427337   
247   0.0000641005   0.0000427337   0.0000641005   
248   0.0000641005   0.0000213668   0.0000320503   
249   0.0000320503   0.0000747839   0.0000106834   
250   0.0000427337   0.0000213668   0.0000427337   
251   0.0000961508   0.0001282010   0.0000747839   
252   0.0000641005   0.0001175176   0.0001816181   
253   0.0000534171   0.0000641005   0.0002457186   
254   0.0002777689   0.0005128041   0.0001175176   
255   0.0006196383   0.0004166533   0.0007264725   
Value   Red   Green   Blue   
0   0.0000320513   0.0000000000   0.0002350427   
1   0.0000213675   0.0000000000   0.0003525641   
2   0.0000641026   0.0000534188   0.0007799145   
3   0.0002350427   0.0001602564   0.0023824786   
4   0.0008119658   0.0008119658   0.0062072647   
5   0.0019017093   0.0021047007   0.0134081179   
6   0.0034508542   0.0034294866   0.0212179420   
7   0.0041880327   0.0039957249   0.0260683600   
8   0.0051068342   0.0050961503   0.0264636492   
9   0.0072649497   0.0065811894   0.0263247502   
10   0.0089209272   0.0091559690   0.0239956832   
11   0.0084294712   0.0119657881   0.0229486663   
12   0.0080234855   0.0139209058   0.0220405384   
